id	ten	tac_gia	license	loai	nguon	dinh_dang	tu_khoa	ghi_cong	cach_lay
8137ed46-30f0-40c8-b6cd-cd188a01c9f1	PRT Military Order of the Tower and of the Sword - Knight BAR	Portunes, 燃灯	CC-BY 3.0	illustration	wikimedia	svg	sword	"PRT Military Order of the Tower and of the Sword - Knight BAR" by Portunes, 燃灯 is licensed under CC BY 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/3.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/d/d8/PRT_Military_Order_of_the_Tower_and_of_the_Sword_-_Knight_BAR.svg"
a8be7631-6baa-46ef-adf1-9f74bf7bdc01	Sword battleaxe shield	ryanlerch	CC0	illustration	wikimedia	svg	sword	"Sword battleaxe shield" by ryanlerch is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/4/43/Sword_battleaxe_shield.svg"
dd4f6c1e-2655-49fd-a788-431543d7babc	RUS For Merit to the Fatherland Order 4th class with swords ribbon	Toghrul R	CC-BY 4.0	illustration	wikimedia	svg	sword	"RUS For Merit to the Fatherland Order 4th class with swords ribbon" by Toghrul R is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/c/cc/RUS_For_Merit_to_the_Fatherland_Order_4th_class_with_swords_ribbon.svg"
dc61b664-acf9-41e7-9cb3-34e9472ee51a	RUS For Merit to the Fatherland Order 3rd class with swords ribbon	Toghrul R	CC-BY 4.0	illustration	wikimedia	svg	sword	"RUS For Merit to the Fatherland Order 3rd class with swords ribbon" by Toghrul R is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/b/b0/RUS_For_Merit_to_the_Fatherland_Order_3rd_class_with_swords_ribbon.svg"
f3d090d8-4ecf-4439-a796-b67c390988b8	Distribution of Bronze Swords in Northeast Asia	AsPJT	CC0	illustration	wikimedia	svg	sword	"Distribution of Bronze Swords in Northeast Asia" by AsPJT is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/8/84/Distribution_of_Bronze_Swords_in_Northeast_Asia.svg"
930ffb9a-1e91-45bc-9ab0-636c828c0c7b	RUS Saint Andrew the Apostle the First-Called Order with swords ribbon	Toghrul R	CC-BY 4.0	illustration	wikimedia	svg	sword	"RUS Saint Andrew the Apostle the First-Called Order with swords ribbon" by Toghrul R is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/9/97/RUS_Saint_Andrew_the_Apostle_the_First-Called_Order_with_swords_ribbon.svg"
5249a9df-8f62-4f66-a237-fe217b84aa16	Sword centers Japan	Provinces_of_Japan-Sagami.svg: Ash_Crow derivative work: bamse (talk)	CC-BY 2.5	illustration	wikimedia	svg	sword	"Sword centers Japan" by Provinces_of_Japan-Sagami.svg: Ash_Crow derivative work: bamse (talk) is licensed under CC BY 2.5. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.5/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/4/49/Sword_centers_Japan.svg"
fc27aeec-72a8-4ce1-9795-2d100d1afd5c	Long sword	nicubunu	CC0	illustration	wikimedia	svg	sword	"Long sword" by nicubunu is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/4/44/Long_sword.svg"
969ad3cc-a9f2-4b0d-b584-ddf6dc8125c1	Kingdom of Iran Symbol Lion Sun Crown with Sword (Pahlavi Dynasty)	Kingdom of Iran	CC0	illustration	wikimedia	svg	sword	"Kingdom of Iran Symbol Lion Sun Crown with Sword (Pahlavi Dynasty)" by Kingdom of Iran is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en.	curl -O "https://upload.wikimedia.org/wikipedia/commons/8/82/Kingdom_of_Iran_Symbol_Lion_Sun_Crown_with_Sword_%28Pahlavi_Dynasty%29.svg"
4e12c53b-bbb0-4d9e-bb37-d6426a0a23dc	Kingdom of Iran Emblem Lion Sun Crown with Sword (Pahlavi Monarchy)	Fans of Kingdom of Iran	CC0	illustration	wikimedia	svg	sword	"Kingdom of Iran Emblem Lion Sun Crown with Sword (Pahlavi Monarchy)" by Fans of Kingdom of Iran is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/7/71/Kingdom_of_Iran_Emblem_Lion_Sun_Crown_with_Sword_%28Pahlavi_Monarchy%29.svg"
